movie_id,title,length,language,genres,director,decade,popularity,Actors
1,F9,140,English,"Action,Thriller,Crime,Adventure",Justin Lin,2020,97033,"Vin Diesel,Michelle Rodriguez,Tyrese Gibson,Ludacris,John Cena,Nathalie Emmanuel,Jordana Brewster,Sung Kang,Michael Rooker,Helen Mirren,Kurt Russell,Charlize Theron,Anna Sawai,Lucas Black,Shad Moss,Jason Tobin,Thue Ersted Rasmussen,Don Omar,Shea Whigham,Vincent Sinclair Diesel,Finn Cole,Vinnie Bennett,J. D. Pardo"
2,Wrath of Man,110,English,"Action,Crime,Thriller",Guy Ritchie,2020,69703,"Jason Statham,Holt McCallany,Scott Eastwood,Jeffrey Donovan,Josh Hartnett,Eddie Marsan,Andy García,Laz Alonso,Darrell D'Silva,Babs Olusanmokun,Deobia Oparei,Chris Reilly,Niamh Algar,Raúl Castillo,Alex Ferns,Post Malone,Lyne Renee,Rocci Williams,Anthony Molinari"
3,Bad Boys for Life,120,English,"Crime,Thriller,Action",Adil El Arbi,2020,71358,"Will Smith,Martin Lawrence,Paola Nuñez,Vanessa Hudgens,Alexander Ludwig,Charles Melton,Kate del Castillo,Nicky Jam,Joe Pantoliano,Theresa Randle,Jacob Scipio,Michael Bay,DJ Khaled,Jay Dubb,Happy Anderson,Bianca Bethune,Dennis Greene,Lisa Ann Hadley,Gissette E. Valentin,Rose Bianco,Edelia Merida,Jasmin Lawrence,Shacai O'Neal,Carlos Guerrero,Massi Furlan,Chick Bernhard,Jennifer Badger,Jeff J.J. Authors,Keith Wheeler,Brandi Cohen,Jay Amor,Yessenia Hernandez,Anthony Molinari,Ivo Nandi,David Shae,Eduardo Rosario,Rory Markham,Brad Sanders,Damien Butler"
4,Limitless,100,English,"Science Fiction,Mystery,Thriller",Neil Burger,2010,135847,"Bradley Cooper,Robert De Niro,Abbie Cornish,Andrew Howard,Anna Friel,Johnny Whitworth,Tomas Arana,Robert John Burke,Darren Goldstein,Ned Eisenberg,T.V. Carpio,Richard Bekins,Patricia Kalember,Cindy Katz,Brian Anthony Wilson,Rebecca Dayan,Ann Marie Green,Damali Mason,Meg McCrossen"
5,The Butterfly Effect,110,English,"Science Fiction,Thriller",Eric Bress,2000,132016,"Ashton Kutcher,Amy Smart,Eric Stoltz,Melora Walters,Ethan Suplee,William Lee Scott,Elden Henson,Logan Lerman,John Patrick Amedori,Irina Gorovaia,Kevin Schmidt,Jesse James"
6,Ford v Ferrari,150,English,"Drama,History,Action",James Mangold,2010,264690,"Christian Bale,Matt Damon,Jon Bernthal,Caitríona Balfe,Josh Lucas,Noah Jupe,Tracy Letts,Remo Girone,Ray McKinnon,JJ Feild,Jack McMullen,Corrado Invernizzi,Joseph Williamson,Ian Harding,Christopher Darga,Shawn Law,Emil Beheshti,Darrin Prescott,Alex Gurney,Benjamin Rigby,Ben Collins,Francesco Bauco,Guido Cocomello,Adam Mayfield,Sean Carrigan,Lachlan Buchanan,Giles Matthey,Rudolf Martin,Evan Arnold,Darin Cooper,Elizabeth Dement,Wallace Langham"
7,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),100,English,"Action,Crime",Cathy Yan,2020,354548,"Margot Robbie,Ewan McGregor,Mary Elizabeth Winstead,Jurnee Smollett,Rosie Perez,Chris Messina,Ella Jay Basco,Ali Wong,Matthew Willig,Dana Lee,Steven Williams,Robert Catrini,Daniel Bernhardt,François Chau,Miyuki Matsunaga,Anna Mikami,Paul Lasa,Charlene Amoia,Ella Mika,Derek Wilson,Bojana Novaković,Andy Hoff,Bruno Oliver,Michael Masini,Judy Kain,David Bianchi,Rj Wayne,Eddie Alfano,Simon Rhee,Sala Baker,Zack Whyel,Ellay Watson,Karen Teliha,Nev Smith,Greice Santo,Zeus Sagittarius,Talon Reid,Matthew Parry-Jones,Brian Nuesi,Adinett Nsabimana"
8,Source Code,90,English,"Mystery,Thriller,Science Fiction",Duncan Jones,2010,123925,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright,Michael Arden,Russell Peters,Cas Anvar,Brent Skagford,Craig Thomas,Gordon Masten,Susan Bain,Joe Cobden,Paula Jean Hixson,Lincoln Ward,Kyle Gatehouse,Albert Kwan"
9,The Curious Case of Benjamin Button,160,English,"Drama,Romance,Fantasy",David Fincher,2000,278981,"Brad Pitt,Cate Blanchett,Taraji P. Henson,Julia Ormond,Jason Flemyng,Mahershala Ali,Jared Harris,Elias Koteas,Phyllis Somerville,Tilda Swinton,Faune Chambers,Donna DuPlantier,Jacob Tolano,Earl Maddox,Ed Metzger,Danny Vinson,David Jensen,Joeanna Sayler,Fiona Hale,Patrick Thomas O'Brien,Marion Zinser,Peter Donald Badalamenti II,Danny Nelson,Paula Gray,Lance E. Nichols,Rampai Mohadi,Troi Bechet,Elle Fanning,Ted Manson,Clay Cullen,Edith Ivey,Robert Towers,Sonya Leslie,Yasmine Abriel,Madisen Beaty,Tom Everett,Don Creech,Christopher DesRoches,Joshua Desroches,Richmond Arquette,Josh Stewart,Ilia Volok,David Ross Paterson,Taren Cunningham,Myrton Running Wolf,Stephen Monroe Taylor"
10,Click,100,English,"Drama,Fantasy,Comedy",Frank Coraci,2000,163388,"Adam Sandler,Kate Beckinsale,Christopher Walken,David Hasselhoff,Henry Winkler,Julie Kavner,Nick Swardson,Sean Astin,Jenae Altschwager,Billy Slaughter,Joseph Castanon,Jonah Hill,Jake Hoffman,Tatum McCann,Lorraine Nicholson,Katie Cassidy,Cheyenne Alexis Dean,Cameron Monaghan"
11,The Bounty Hunter,110,English,"Action,Drama,Comedy",Andy Tennant,2010,26951,"Gerard Butler,Jennifer Aniston,Peter Greene,Jeff Garlin,Jason Sudeikis,Gio Perez,Siobhan Fallon Hogan,Joel Garland,Jason Kolotouros,Matt Malloy,Adam Rose,Christine Baranski,Dorian Missick"
12,21,120,English,"Crime,Drama",Robert Luketic,2000,66035,"Jim Sturgess,Kevin Spacey,Kate Bosworth,Aaron Yoo,Liza Lapira,Jacob Pitts,Laurence Fishburne,Jack McGee,Josh Gad,Sam Golzari,Helen Carey,Jack Gilpin,Ben Campbell,Donna Lows,Butch Williams,Steven Richard Vezina"
13,Transcendence,110,English,"Mystery,Drama,Thriller,Science Fiction",Wally Pfister,2010,41787,"Johnny Depp,Rebecca Hall,Morgan Freeman,Paul Bettany,Cillian Murphy,Kate Mara,Cole Hauser,Clifton Collins Jr.,Sam Quinn,Cory Hardrict,Falk Hentschel,Josh Stewart,Luce Rains,Fernando Chien,Steven Liu,Lukas Haas,Xander Berkeley,Wallace Langham,James Burnett"
14,Kick-Ass,110,English,"Action,Crime",Matthew Vaughn,2010,257972,"Aaron Taylor-Johnson,Chloë Grace Moretz,Nicolas Cage,Christopher Mintz-Plasse,Mark Strong,Omari Hardwick,Xander Berkeley,Garrett M. Brown,Clark Duke,Evan Peters,Deborah Twiss,Lyndsy Fonseca,Sophie Wu,Elizabeth McGovern,Stu 'Large' Riley,Michael Rispoli,Corey Johnson,Kenneth Simmons,Anthony Desio,Randall Batinkoff,Dexter Fletcher,Yancy Butler,Craig Ferguson,Jason Flemyng"
15,Now You See Me,110,English,"Crime,Thriller",Louis Leterrier,2010,287879,"Woody Harrelson,Morgan Freeman,Jesse Eisenberg,Isla Fisher,Mark Ruffalo,Mélanie Laurent,Michael Kelly,Dave Franco,Michael Caine,Justine Wachsberger,Common,David Warshofsky,Kerry Cahill,José Garcia"
16,Legion,100,English,"Fantasy,Horror,Action",Scott Stewart,2010,24259,"Paul Bettany,Dennis Quaid,Lucas Black,Kate Walsh,Tyrese Gibson,Adrianne Palicki,Willa Holland,Charles S. Dutton,Jon Tenney,Kevin Durand,Doug Jones,Jeanette Miller,Cameron Harlow,Josh Stamberg,Yancey Arias,Stephen Oyoung"
17,Edge of Tomorrow,110,English,"Science Fiction,Action",Doug Liman,2010,264542,"Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,Tony Way,Kick Gurry,Franz Drameh,Dragomir Mrsic,Charlotte Riley,Masayoshi Haneda,Terence Maynard,Noah Taylor,Lara Pulver,Madeleine Mantock"
